uid,Game,Data,Dimension,Method,Loss function,Param1,Param2,Param2,Run1,Run2,Run3,,There should be another similar sheet on excel or google sheets. Find it  and seggregate it
hcm5m2ys,AirRaidNoFrameskip-v4,SpaceDemo,,VIP,,,,,1.a_AirRaidNoFrameskip-v4_singlegame_full_1CHAN_VIP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_50.0_15.0_0.01_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_19_21_56_04,1.a_AirRaidNoFrameskip-v4_singlegame_full_1CHAN_VIP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_50.0_15.0_0.01_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_00_20_08,1.a_AirRaidNoFrameskip-v4_singlegame_full_1CHAN_VIP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_50.0_15.0_0.01_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_02_44_02,,
65tayr12,AirRaidNoFrameskip-v4,,,,,,,,,,,,
197nxvk5,AirRaidNoFrameskip-v4,,,,,,,,,,,,
iju7xqn0,AirRaidNoFrameskip-v4,SpaceDemo,,SOM,,,,,1.a_AirRaidNoFrameskip-v4_singlegame_full_1CHAN_SOM_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_0.9_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_19_13_12_48,1.a_AirRaidNoFrameskip-v4_singlegame_full_1CHAN_SOM_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_0.9_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_19_17_48_06,1.a_AirRaidNoFrameskip-v4_singlegame_full_1CHAN_SOM_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_0.9_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_19_22_23_40,,
q8w984sq,AirRaidNoFrameskip-v4,,,,,,,,,,,,
uryvtzcq,AirRaidNoFrameskip-v4,,,,,,,,,,,,
b3hwdi5a,AirRaidNoFrameskip-v4,,,,,,,,,,,,
2sg53tav,AirRaidNoFrameskip-v4,,,,,,,,,,,,
5y6dc8ze,,,,,,,,,,,,,
k28z8tdk,,,,,,,,,,,,,
ddxoh5qq,PhoenixNoFrameskip-v4,None,,E2E,,,,,1.a_PhoenixNoFrameskip-v4_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_notemp/23_10_26_20_40_36,1.a_PhoenixNoFrameskip-v4_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_15_19_15_28,??,,
euwl5ryr,PhoenixNoFrameskip-v4,None,,Random,,,,,1.a_PhoenixNoFrameskip-v4_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_notemp/23_10_30_13_21_58,1.a_PhoenixNoFrameskip-v4_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_16_01_55_56,??,,
k7agaxx9,PhoenixNoFrameskip-v4,,,,,,,,,,,,
fs94yrom,PhoenixNoFrameskip-v4,,,,,,,,,,,,
kdcnohta,PhoenixNoFrameskip-v4,SpaceDemo,,VEP,,2,-1,2,1.a_PhoenixNoFrameskip-v4_singlegame_full_1CHAN_NVEP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_2.0_-1.0_2.0_same_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_19_21_41_55,1.a_PhoenixNoFrameskip-v4_singlegame_full_1CHAN_NVEP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_2.0_-1.0_2.0_same_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_19_23_57_35,1.a_PhoenixNoFrameskip-v4_singlegame_full_1CHAN_NVEP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_2.0_-1.0_2.0_same_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_02_13_10	,,
o198gb8a,PhoenixNoFrameskip-v4,SpaceDemo,,TCN,,-1,,,1.a_PhoenixNoFrameskip-v4_singlegame_full_1CHAN_TCN_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_-1.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_18_18_30_00,1.a_PhoenixNoFrameskip-v4_singlegame_full_1CHAN_TCN_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_-1.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_18_20_22_21,1.a_PhoenixNoFrameskip-v4_singlegame_full_1CHAN_TCN_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_-1.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_18_22_14_40,,
p1c62ykp,PhoenixNoFrameskip-v4,SpaceDemo,,SOM,,0.1,,,1.a_PhoenixNoFrameskip-v4_singlegame_full_1CHAN_SOM_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_0.1_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_19_13_13_37,1.a_PhoenixNoFrameskip-v4_singlegame_full_1CHAN_SOM_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_0.1_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_19_17_09_02,1.a_PhoenixNoFrameskip-v4_singlegame_full_1CHAN_SOM_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_0.1_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_19_21_04_45,,
